Acronym,Term,Category
A2HA,American Association of Hospital Accountants,Health Care
AAA,American Automobile Association,Health Care
AABB,American Association of Blood Banks,Health Care
AABH,Association for Ambulatory Behavioral Healthcare,Health Care
AACN,American Association of Colleges of Nursing,Health Care
AACR,American Association for Cancer Research,Health Care
AADA,Abbreviated Antibiotic Drug Application,Health Care
AAF,Aplastic Anemia Foundation,Health Care
AAFES,Army & Air Force Exchange Services,Health Care
AAFP,American Academy of Family Physicians,Health Care
AAHA,American Association of Homes for the Aging,Health Care
AAHP,American Association of Health Plans,Health Care
AAHSA,American Association of Homes & Services for the Aging,Health Care
AAKP,American Association of Kidney Patients,Health Care
AAMC,Association of American Medical Colleges,Health Care
AAO,American Academy of Ophthalmology,Health Care
AAP,American Academy of Pediatrics,Health Care
AAPC,American Association of Professional Coders,Health Care
AAPCC,Adjusted Average Per Capita Cost,Health Care
AAPD,American Academy of Pediatric Dentistry,Health Care
AAPHR,American Association of Physicians for Human Rights,Health Care
AARP,American Association of Retired Persons,Health Care
ABD,"Aged, Blind & Disabled",Health Care
ABG,Arterial Blood Gases,Health Care
ABH,Association of Behavioral Healthcare,Health Care
ABN,Advanced Beneficiary Notice,Health Care
ABR,American Board of Radiology,Health Care
ABS,Annual Beneficiary Summary,Health Care
AC,Actual Charge,Health Care
ACA,Amputee Coalition of America,Health Care
ACC,American College of Cardiology,Health Care
ACEI,Angiotensin Converting Enzyme Inhibitors,Health Care
ACEP,American College of Emergency Physicians,Health Care
ACF,Administration for Children & Families,Health Care
ACGIH,American Conference of Government Industrial Hygienists,Health Care
ACHE,American College of Healthcare Executives,Health Care
ACOG,American College of Obstetricians & Gynecologists,Health Care
ACP,American College of Physicians,Health Care
ACPV,Average Cost per Visit,Health Care
ACR,Adjusted Community (Contract) Rate,Health Care
ACR,American College of Radiology,Health Care
ACRP,Adjusted Community Rate Proposal,Health Care
ACS,Accredited Standards Committee,Health Care
ACS,American Cancer Society,Health Care
ACS,American College of Surgeons,Health Care
ACSI,American Customer Satisfaction Index,Health Care
ACTG,AIDS Clinical Trials Group,Health Care
ACYF,"Administration on Children, Youth & Families",Health Care
AD,Admitting Diagnosis,Health Care
ADA,American Dental Association,Health Care
ADA,American Dietetic Association,Health Care
ADA,Americans with Disabilities Act of 1990,Health Care
ADAMHA,"Alcohol, Drug Abuse & Mental Health Administration",Health Care
ADAP,AIDS Drug Assistance Program,Health Care
ADC,Adult Day Care,Health Care
ADG,Ambulatory Diagnostic Group,Health Care
ADG-HOSDOM,Ambulatory Diagnostic Group Hospital Dominant,Health Care
ADHA,American Dental & Hygienists Association,Health Care
ADJ,Adjusted Claim,Health Care
ADL,Activities of Daily Living,Health Care
ADMC,Advance Determination of Medicare Coverage,Health Care
ADMS,"Alcohol, Drug Abuse & Mental Health Services",Health Care
ADP,(Medicaid) Alternative Disposition Plan,Health Care
ADP,Advance Planning Document,Health Care
ADR,Automated Desk Review,Health Care
ADT,Admission/Discharge Transfer,Health Care
AFDC,Aid to Families with Dependant Children (Title IV of the SS Act),Health Care
AFEHCT,American Federation of Electronic Health Care Transactions,Health Care
AFEHCT,Association for Electronic Health Care Transactions,Health Care
AFHHA,American Federation of Home Health Agencies,Health Care
AGPAM,American Guild of Patient Account Managers,Health Care
AHA,American Heart Association,Health Care
AHA,American Hospital Association,Health Care
AHCA,American Health Care Association,Health Care
AHFSA,Association of Health Facility Survey Agencies,Health Care
AHIMA,American Health Information Management Association,Health Care
AHP,Accountable Health Partnership,Health Care
AHP,Accountable Health Plan,Health Care
AHP,Alternative Health Plan,Health Care
AHPA,American Health Planning Association,Health Care
AHRQ,Agency for Healthcare Research & Quality,Health Care
AICC,Anti-Inhibitor Coagulant Complex,Health Care
AKF,American Kidney Fund,Health Care
ALBN,Amount of Last Billing Notice,Health Care
ALC,Alternate Level of Care,Health Care
ALFA,Assisted Living Federation of America,Health Care
ALOS,Average Length of Stay,Health Care
ALS,Advanced Life Support,Health Care
ALT,Average Length of Treatment,Health Care
AMA,American Medical Association,Health Care
AMCRA,American Medical Care & Review Association,Health Care
AMCS,Automated Medical Coding System,Health Care
AMHPS,Association of Minority Health Professional Schools,Health Care
AMI,acute myocardial infarction (heart attack),Health Care
AMIA,American Medical Informatics Association,Health Care
AMRA,American Medical Records Association,Health Care
AN,Account Number (also A/N),Health Care
ANA,Administration for Native Americans,Health Care
ANA,American Nurses Association,Health Care
ANCHR,Access to the NCH Repository (online query to 5% sample),Health Care
ANDA,Abbreviated New Drug Applications,Health Care
ANNA,American Nephrology Nurses Association,Health Care
ANSI X12 837,American National Standards Institute Health Data Committee X12 file format 837,Health Care
AOA,Administration on Aging,Health Care
AOA,American Optometric Association,Health Care
AOA,American Osteopathic Association,Health Care
AONE,American Organization of Nurse Executives,Health Care
AOPA,American Orthotic & Prosthetic Association,Health Care
APA,American Pharmaceutical Association,Health Care
APA,American Psychiatric Association,Health Care
APACHE,Acute Physiology & Chronic Health Evaluation,Health Care
APC,Ambulatory Payment Class,Health Care
APD,Advanced Planning Documents,Health Care
APG,Ambulatory Patient Group,Health Care
APG,Ambulatory Payment Group,Health Care
APHA,American Public Health Association,Health Care
APHP,Acute Partial Hospitalization Program,Health Care
APHP,Applied as Hospital Insurance Premiums,Health Care
APHSA,American Public Human Services Association,Health Care
APM,Admission Pattern Monitoring,Health Care
APMA,American Podiatric Medical Association,Health Care
APME,Advisory Panel on Medicare Education,Health Care
APR - DRG,all payer refined - diagnosis related groups,Health Care
APS,Acute Physiology Score,Health Care
APTD,Aid to the Permanently & Totally Disabled,Health Care
AQL,Acceptable Quality Level,Health Care
ARC,AIDS Related Complex,Health Care
ARC,American Red Cross,Health Care
AS,American Samoa,Health Care
ASC,Ambulatory Surgical/Surgery Center,Health Care
ASCO,American Society of Clinical Oncology,Health Care
ASCP,American Society of Consultant Pharmacists,Health Care
ASCPT,American Society of Clinical Pharmacology & Therapeutics,Health Care
ASH,Assistant Secretary for Health,Health Care
ASHP,American Society of Hospital Pharmacists,Health Care
ASHRM,American Society of Healthcare Risk Management,Health Care
ASIM,American Society of Internal Medicine,Health Care
ASMT,American Society for Medical Technologists,Health Care
ASO,Administrative Services Only,Health Care
ASTHO,Association of State & Territorial Health Offices,Health Care
ASTS,American Society of Transplant Surgeons,Health Care
ATRA,American Therapeutic Recreation Association,Health Care
ATSDR,Agency for Toxic Substances & Disease Registry (EPA),Health Care
AUSCT,Autologous Stem Cell Transplantation,Health Care
AVERT,AntiVirus Emergency Response Team (McAfee),Health Care
AVGS,Ambulatory Visit Groups,Health Care
AZT,Azidothymidine (AIDS drug therapy),Health Care
BA,Business Associate,Health Care
BAC,Beneficiary Advisory Committee,Health Care
BACOM,Beneficiary Annotation & Communication Operation,Health Care
BAR,Beneficiary Adjustment Report,Health Care
BATF,"Bureau of Alcohol, Tobacco & Firearms",Health Care
BBA,Balanced Budget Act of 1997,Health Care
BBRA,Balanced Budget Refinement Act of 1999 (PL 106113),Health Care
BC/BS,Blue Cross/Blue Shield,Health Care
BCA,Board of Contract Appeals,Health Care
BCB,Beneficiary Confidentiality Board,Health Care
BCBSA,Blue Cross/Blue Shield Association,Health Care
BCF,Benefit Correction Form,Health Care
BDOD,Beneficiary Date of Death,Health Care
BDP,Beneficiary Database Prototype,Health Care
BDPC,Breakthrough Drug Pricing Committee,Health Care
BDPP,Beneficiary Database Prototype Project,Health Care
BEAM,Brain Electrical Activity Mapping,Health Care
BEER,Beneficiary Earnings Exchange Record,Health Care
BENDEX,Beneficiary & Earnings Data Exchange System,Health Care
BENDEX,Beneficiary Data Exchange,Health Care
BERT,(EDB) Beneficiary Enrollment Retrieval System,Health Care
BESS,Part B Extract & Summary System (nee BMAD),Health Care
BEST,Beneficiary Eligibility State Tape (EDB Bene Alpha File),Health Care
BEST,Beneficiary State Totals (from SPACE System),Health Care
BF,Beneficiary File,Health Care
BGN,Beneficiary Given Name,Health Care
BHO,Behavioral Health Organization,Health Care
BI,Benefits Integrity,Health Care
BIC,Beneficiary Identification Code,Health Care
BIF,Beneficiary Insurance File,Health Care
BIF,Benefit Information Form,Health Care
BIMF,Beneficiary Inactive Master File,Health Care
BIPA,"Benefits, Improvements & Protection Act of 2000",Health Care
BISC,Benefit Integrity support Center,Health Care
BIT,Beneficiary Inquiries Taskforce,Health Care
BITF,Beneficiary Implementation Task Force,Health Care
BITS,Beneficiary Information Tracking System,Health Care
BITS,Beneficiary Inquiry Tracking System,Health Care
BIW,Beneficiary Inquiries Workgroup,Health Care
BL,Black Lung,Health Care
BLASER,Black Lung Automated Search & Edit Routine,Health Care
BLS,Basic Life Support,Health Care
BLUES,Blue Cross/Blue Shield associations,Health Care
BMA,BioMedical Applications,Health Care
BMACS,Part B Medicare Automated Claims Systems,Health Care
BMCHRD,Bureau of Maternal & Child Health & Resources Development,Health Care
BOAN,Beneficiary's Own Account Number (SSN),Health Care
BOCMIS,Beneficiary Overpayment Control & Management Information System,Health Care
BOIS,Beneficiary Online Inquiry System (HI/SMI online in HCFA),Health Care
BOME,Bureau of Medical Examiners,Health Care
BOSSN,Beneficiary's Own SSN,Health Care
BP,Benefit Period,Health Care
BP,Business Partner,Health Care
BPC,Base Period Charge,Health Care
BQAS,Part B Quality Assurance System,Health Care
BRDPI,Biomedical Research & Development Price Index,Health Care
BRI,Benefit Rate Increase,Health Care
BSR,(Part B) Bill Summary Records,Health Care
BSRS,Benefit Savings Reporting System,Health Care
BSS,Beneficiary Satisfaction Survey,Health Care
BSS,Benefit Summary Statistics,Health Care
BUTE,Beneficiary Database Update Transaction System (HDBUTE),Health Care
CABBS,Carrier Bulletin Board System,Health Care
CABG,coronary artery bypass graft,Health Care
CABLE,Combined A/B Local Eligibility,Health Care
CABS,Carrier Access Billing System,Health Care
CABWF,Combined A/B Working File (also see CWF),Health Care
CAC,Carrier Advisory Committee,Health Care
CAH,Critical Access Hospital,Health Care
CAHHS,California Association of Hospitals & Health Systems,Health Care
CAHPS,Consumer Assessments of Health Plans Survey,Health Care
CAHSA,California Association of Home Services for the Aged,Health Care
CALPERS,California Public Employees Retirement System,Health Care
CALSO,(Death Termination System (SSA)),Health Care
CAMP,Carrier Accountability Monitoring Project,Health Care
CAN,Claim Account Number,Health Care
CANDA,Computer Assisted New Drug Applications,Health Care
CAP,community acquired pneumonia,Health Care
CAPS,Capitated Ambulatory Plan,Health Care
CAPS,Claims Automated Processing System (SSA MBR),Health Care
CAR,Corrective Action Review,Health Care
CARE,Center for Analytical Review & Education,Health Care
CARF,Commission on Accreditation of Rehabilitation Facilities,Health Care
CARRPR,Carrier Payment Record,Health Care
CASE,Computer Assisted Systems Engineering,Health Care
CASF,Carrier Alphabetic State File,Health Care
CASPRO,Clinical Area Support PRO,Health Care
CAST,Carrier Alpha State Microfilm/Microfiche System,Health Care
CAST,Carrier Alpha State Tape,Health Care
CB,Consolidated Billing,Health Care
CB,Cost Benefit,Health Care
CBA,Cost/Benefit Analysis,Health Care
CBR,Cost Based Reimbursement,Health Care
CBS,Current Beneficiary Survey (by OACT),Health Care
CBSR,Cost Benefit Savings Report,Health Care
CBSS,Customer Billing Services System,Health Care
CC,Claims Control,Health Care
CC,Condition Code,Health Care
CCA,Catastrophic Coverage Act,Health Care
CCA,Child Care Association,Health Care
CCHCC,Coordinating Center for Home & Community Care,Health Care
CCLR,Claims Collection Litigation Report,Health Care
CCN,Carrier Control Number,Health Care
CCN,Claim Control Number,Health Care
CCN,Correspondence Control Number,Health Care
CCO,Claims Collection Officer,Health Care
CCP,Comprehensive Care Provider,Health Care
CCP,Coordinated Care Plans,Health Care
CCRC,Continuing Care Retirement Community,Health Care
CCRC,Continuum of Care Residential Center,Health Care
CCS,Community Care Setting,Health Care
CCU,(Carrier) Cost Containment Unit,Health Care
CDB,(Carrier) Correspondence Database System,Health Care
CDC,Center for Disease Control,Health Care
CDI,Catastrophic Drug Insurance (Trust Fund),Health Care
CDM,(Hospital) Charge Description Master (Files),Health Care
CDOC,Covered Days of Care,Health Care
CDR,Continuing Disability Review,Health Care
CDRG,Children's Diagnosis Related Groups,Health Care
CDT,Current Dental Terminology,Health Care
CE,Covered Entity,Health Care
CED,Committee for Employees with Disabilities,Health Care
CELIP,Claim Expansion & Line Item Processing,Health Care
CES,Credential Evaluation Service,Health Care
CHA,Catholic Health Association,Health Care
CHAIN,Chain Provider Director System,Health Care
CHAMPUS,Civilian Health & Medical Programs of the Uniformed Services (Now TRI-CARE),Health Care
CHAMPVA,Civilian Health & Medical Program of the Veterans Administration,Health Care
CHAP,Child Health Assurance Program,Health Care
CHAP,Community Health Accreditation Program,Health Care
CHAPS,Consumer Assessment of Health Plans Survey,Health Care
CHBI,Commission on Health Benefits & Integration,Health Care
CHC,Community Health Center,Health Care
CHC,Comprehensive Health Center,Health Care
CHC,Continuous Home Care,Health Care
CHCC,Center for Hospital & Community Care,Health Care
CHCL,Center for Health Care Law,Health Care
CHDR,Center for Health Dispute Resolution,Health Care
CHER,Center of Health Economics Research (aka HERI),Health Care
CHHA,Certified Home Health Agency,Health Care
CHHC,Continuous Home Health Care,Health Care
CHI,Catastrophic Health Insurance,Health Care
CHICN,HI Enrollment Cards Operation (HECHICN),Health Care
CHICO,Combined Health Insurance & Checkwriting Operations,Health Care
CHIM,Center for Healthcare Information Management,Health Care
CHIME,College of Healthcare Information Management Executives,Health Care
CHIP,Catastrophic Health Care Program,Health Care
CHIP,Child Health Insurance Program,Health Care
CHMSA,Critical Health Manpower Shortage Area,Health Care
CHN,Community Health Network,Health Care
CHO,Community Health Organization,Health Care
CI,Catastrophic Indicator,Health Care
CIADV,Carrier/Intermediary Advance Notice,Health Care
CIM,Coverage Issues Manual,Health Care
CIP,Claims In Process,Health Care
CLFS,Clinical Laboratory Fee Schedule,Health Care
CLIA,Clinical Laboratory Improvement Act (of 1965) (Amendments 1988),Health Care
CLIA,Clinical Laboratory Interstate Act (or Amendments),Health Care
CLMA,Clinical Laboratory Management Association,Health Care
CLOE,(Carrier) Claims Only Entry System,Health Care
CLT,Certified Lab Technician,Health Care
CMD,Carrier Medical Director,Health Care
CMD,Contractor Medical Directors,Health Care
CMHC,Community Mental Health Center (or Clinic),Health Care
CMHS,Continuous Medical (or Medicare) History Sample (or Study),Health Care
CMM,Capability Maturity Model,Health Care
CMN,Certified Medical Necessity,Health Care
CMP,Competitive Medical Plan (under TEFRA),Health Care
CMP,Comprehensive Medical Plan,Health Care
CMR,Comprehensive Medical Review,Health Care
CMRI,"California Medical Review, Inc.",Health Care
CMS,"Centers for Medicare and Medicaid Services (HCFA prior to July 1, 2001)",Health Care
CMSS,Council of Medical Specialty Societies,Health Care
CN,Claim Number (also C/N),Health Care
CNACO,Community Nursing & Ambulatory Care Organization,Health Care
CNH,Community Nursing Home,Health Care
CNPB,Clean NonPIP Bills,Health Care
CO,Central Office,Health Care
CO,Coinsurance,Health Care
CO,Contract Officer,Health Care
COA,Change of Address,Health Care
COB,Close of Business,Health Care
COB,Coordination of Benefits,Health Care
COBA,Coordination of Benefits Agreement,Health Care
COBC,Coordination of Benefits Contractor,Health Care
COBRA,Consolidated Omnibus Budget Reconciliation Act (of 1985),Health Care
COF,Carrier Option File,Health Care
COI,Change of Intermediaries,Health Care
COP,Conditions of Participation,Health Care
COPC,Community Oriented Primary Care,Health Care
COPD,Chronic Obstructive Pulmonary Disease,Health Care
CORC,Carrier of Record Control,Health Care
CORF,Comprehensive Outpatient Rehabilitation Facility,Health Care
CORTS,Calculation of Overpayment Recovery Timeliness System,Health Care
COT,Chain of Trust,Health Care
COTR,Contract Officer's Technical Representative,Health Care
CP,Claims Processing,Health Care
CPA,Cost Plus Award,Health Care
CPAF,Cost Plus Award Fee,Health Care
CPAP,Common Provider Audit Program,Health Care
CPAP,Continuous positive airway pressure,Health Care
CPAS,Claims Processing Assessment System,Health Care
CPD,Competitive Pricing Demonstration,Health Care
CPD,Cost Per Discharge,Health Care
CPDA,Current Premium Due Amount,Health Care
CPDAH,CPDA Hospital Insurance,Health Care
CPFA,Cost Plus Fee Award,Health Care
CPFF,Cost Plus Fixed Fee,Health Care
CPHA,Commission on Professional Hospital Activities,Health Care
CPM,Claims Processing Manual,Health Care
CPM,Clinical Performance Measure,Health Care
CPM,Contractor Performance Management (Module),Health Care
CPM/EIS,Contractor Performance Management / Enterprise Information System,Health Care
CPO,Care Plan Oversight,Health Care
CPPC,Cost Plus Percentage of Cost,Health Care
CPQC,Claims Processing Quality Control,Health Care
CPR,Computerized Patient Record,Health Care
CPRI,Computer-based Patient Record Institute,Health Care
CPS,Critical Payment System,Health Care
CPSC,Consumer Products Safety Commission,Health Care
CPT,Claims Processing Timeliness,Health Care
CPT,Common Procedural Terminology,Health Care
CPT,Cost Per Treatment,Health Care
CPT,Current Procedural Terminology,Health Care
CPT-4,"Current Procedural Terminology, Version 4",Health Care
CPV,Cost Per Visit,Health Care
CQAS,Carrier Quality Assurance System (now Part B QAS),Health Care
CQI,Continuous Quality Improvement,Health Care
CQMR,Carrier Quarterly Medical Review,Health Care
CR,Continuing Resolution,Health Care
CRB,Change Review Board,Health Care
CRD,Chronic Renal Disease (aka: ESRD (preferred)),Health Care
CRG,Carrier Representative Group,Health Care
CRLE,Cost Reimbursement Level of Effort,Health Care
CS,Claims Services,Health Care
CS,Covered Services,Health Care
CSAP,Center for Substance Abuse Prevention,Health Care
CSTE,Council of State & Territorial Epidemiologists,Health Care
CSTP,Carrier System Testing Project (or Program),Health Care
CTC,Certified Transplant Center,Health Care
CWF,Common Working File (see NCHS),Health Care
CWF/MSP,Common Working File / Medicare Secondary Payer,Health Care
CWFA,Common Working File Part A,Health Care
CWFB,Common Working File Part B,Health Care
CWFDOCO,Common Working File Documentation File,Health Care
CWFHPEP,Common Working File Host Performance Evaluation Program,Health Care
CWFINFOBASE,Common Working File Information Database,Health Care
CWFM,Common Working File Maintenance,Health Care
CWFM/IV&V,Common Working File Maintenance / Independent Verification & Validation,Health Care
CWFMC,Common Working File Maintenance Contractor,Health Care
CWFMQA,CWF Medicare Quality Assurance System,Health Care
CWFQAS,Common Working File Quality Assurance System,Health Care
DA&A,Drug Addiction & Alcoholism,Health Care
DAP,DMERC Advisory Panel,Health Care
DASMB,(HHS) Deputy Assistant Secretary for Management & Budget,Health Care
DAWN,Drug Abuse Warning Network,Health Care
DBPS,Drug Bill Processors,Health Care
DC,Diagnostic Code,Health Care
DC,Discharge,Health Care
DCF,Dually Certified Facility,Health Care
DCP,Department of Carrier Procedures,Health Care
DD,Developmental Disabilities,Health Care
DDE,Direct Data Entry,Health Care
DDR,Discharge During Referral,Health Care
DDS,Disability Determination Service,Health Care
DEA,Drug Enforcement Administration (or Agency),Health Care
DECC,Dental Content Committee,Health Care
DESI,Drug Efficacy Study & Implementation Program,Health Care
DFLSD,Death File Limiting State Death (SSA DUMAS National Death Repository),Health Care
DHHS,Department of Health & Human Services,Health Care
DHHSAA,DHHS Audit Agency,Health Care
DHWHIM,Daily Health Insurance Master Health Insurance Merge,Health Care
DI,Disability Insurance,Health Care
DIB,Disability Insurance Beneficiary,Health Care
DICOM,Digital Imaging and Communications in Medicine,Health Care
DIS,Disabled (beneficiary),Health Care
DISA,Data Interchange Standards Association,Health Care
DM&S,(DVA) Department of Medicine & Surgery,Health Care
DME,Durable Medical Equipment,Health Care
DMEFS,Durable Medical Equipment Fee Schedule,Health Care
DMEPOS,"Durable Medical Equipment Prosthetic, Orthotics & Supplies",Health Care
DMERC,Durable Medical Equipment Regional Carrier,Health Care
DOB,Date of Birth,Health Care
DOC,Days of Care,Health Care
DOD,Date of Death,Health Care
DOE,Date of Entitlement,Health Care
DOEH,Date of Entitlement to Hospital Insurance (Medicare Part A),Health Care
DOES,Date of Entitlement to Supplementary Medical Insurance (Medicare Part B),Health Care
DOM,Developmental Office Minicomputer,Health Care
DOS,Date of Service,Health Care
DOTH,Date of Termination of Hospital Insurance,Health Care
DOTS,Date of Termination of Supplementary Medical Insurance,Health Care
DP,Disability Pension,Health Care
DQC,Data Quality Committee,Health Care
DQSC,Data Quality Steering Committee,Health Care
DR,Desk Review,Health Care
DRI,Drug Rebate Initiative,Health Care
DSTU,Draft Standard for Trial Use,Health Care
DUA,Data Use Agreement,Health Care
DUR,Drug Utilization Review,Health Care
DVA,Department of Veterans Affairs (nee VA),Health Care
DVAAP,Disabled Veterans Affirmative Action Program,Health Care
DWA,Disabled Working Aged,Health Care
DWB,Disabled Widow's Benefits,Health Care
DWI,Disabled & Working Individual (see QDWI),Health Care
DX,Diagnosis,Health Care
DXGROUP,Diagnosis Group,Health Care
EA,Emergency Assistance,Health Care
EAB,Enumeration at Birth (SSA),Health Care
EACH,Essential Access Community Hospital,Health Care
EAL,Evaluation Assurance Level,Health Care
EB,ESRD Bene,Health Care
ECF,Extended Care Facility,Health Care
ECP,External Counterpulsation,Health Care
ECP,Electronic Claims Processing System,Health Care
ECRD,Early Complaint Resolution Process,Health Care
ECS,Extended Care Services,Health Care
ECTI,Electronic Claims Transaction Initiative,Health Care
ED,Electronic Commerce,Health Care
ED,Emergency Department,Health Care
EDB,Enrollment Database (CMS Medicare beneficiary entitlement record),Health Care
EDBCCB,EDB Change Control Board,Health Care
EDBCRP,EDB Common Rules Processor,Health Care
EDBFPS,EDB Five Percent Sample,Health Care
EDBO,EDB Online,Health Care
EDBOTP,EDB OnLine Transaction Processing,Health Care
EDBP,Enrollment Database PRISM (Staff),Health Care
EDBS,Enrollment & Direct Billing System,Health Care
EDBTP,EDB Transaction Processors,Health Care
EDBUPT,EDB Online Update Facility,Health Care
EDBW,EDB Workbench,Health Care
EDEES,ESRD Data Entry & Editing System,Health Care
EDF,Execution Diagnostic Facility,Health Care
EDG,Emergency Department Group,Health Care
EDI,Electronic Data Interchange,Health Care
EDIPAC,Electronic Data Interchange / Payment & Collection,Health Care
EDPO,EDB Printout,Health Care
EEG,Electroencephalograph,Health Care
EFC,Exclusions From Coverage,Health Care
EFTS,Electronic File Transfer System (GHP large volume transfer to HDC),Health Care
EGHP,Employer Group Health Plan,Health Care
EH,Emergency Hospital,Health Care
EHNAC,Electronic Healthcare Network Accreditation Commission,Health Care
EIB,Employer Insured Beneficiary,Health Care
EIN,Employee Identification Number (aka SUEI),Health Care
EIN,Employer Identification Number,Health Care
EM,Enrollment Module,Health Care
EMB,Eligible Medicare Beneficiary,Health Care
EMBER,Edit for Multiple Bene Entitlement Records,Health Care
EMEVS,Electronic Medicaid Eligibility Verification System,Health Care
EMIA,Educators Mutual Insurance Association,Health Care
EMSS,Emergency Medical Service System,Health Care
EMT,Emergency Medical Technician,Health Care
EMTALA,Emergency Medical Treatment and Active Labor Act,Health Care
ENROLL,Enrollment,Health Care
ENTMRG,Prior Entitlement Merge (HDENTMRG),Health Care
ENTRAP,ENrollment TRAnsaction Processors,Health Care
EOB,Explanation of Benefits,Health Care
EOC,Episode of Care,Health Care
EOIS,Enrollment Online Inquiry System (use EDBOIS),Health Care
EOMB,Explanation of Medical Benefits,Health Care
EP,Enrollment Period,Health Care
EP STUDIES,Electrophysiological Studies,Health Care
EPC,Emergency Protection Coordinators,Health Care
EPESE,Established Populations for Epidemic Logic Studies for the Elderly,Health Care
EPSDT,"Early & Periodic Screening, Diagnosis & Treatment Program (or Services)",Health Care
ERNIE,EDB Enrollment Retrieval New Interactive Edit System,Health Care
ES,Emergency Service,Health Care
ESRD,EndStage Renal Disease,Health Care
ESRD PMMIS,ESRD Program Management & Medical Information System,Health Care
ESRDBF,EndStage Renal Disease Beneficiary File,Health Care
EVS,Eligibility Verification System,Health Care
F&A,Fraud & Abuse,Health Care
FA,Field Audit,Health Care
FAC,Freestanding Ambulatory Care,Health Care
FAC,Freestanding Ambulatory Center,Health Care
FAH,Federation of American Hospitals,Health Care
FAHS,Federation of American Health Systems,Health Care
FAQ,Frequently Asked Question,Health Care
FASA,Federated Ambulatory Surgery Association,Health Care
FASC,Freestanding Ambulatory Surgery Center,Health Care
FASEB,Federation of American Societies for Experimental Biology,Health Care
FBR,Federal Benefit Rate,Health Care
FCCA,Federal Claims Collection Act of 1966 (31USC3711 & 4CFR),Health Care
FCCBC,Federal Coordinating Committee on Breast Cancer,Health Care
FCD,First Claims Development,Health Care
FCW,Freedom of Choice Waiver,Health Care
FDA,Food & Drug Administration,Health Care
FDG,Fluorodeoxyglucose,Health Care
FDOEH,First Date of Entitlement to Hospital Insurance (Part A),Health Care
FDOES,First Date of Entitlement to Supplementary Medical Insurance (Part B),Health Care
FEC,Freestanding Emergency Center,Health Care
FFS,Fee for Service,Health Care
FHP,Family Health Plan,Health Care
FI,Fiscal Intermediary,Health Care
FICA,Federal Insurance Contributions Act,Health Care
FICARR,Fiscal Intermediary/Carrier,Health Care
FID,Fraud Investigation Database,Health Care
FIG,Fiscal Intermediary Group,Health Care
FIQAS,Fiscal Intermediary Quality Assurance System,Health Care
FISS,Fiscal Intermediary Standard (or Shared) System,Health Care
FMC,Foundation for Medical Care,Health Care
FNS,Food & Nutrition Service (DOA),Health Care
FOIA,"Freedom of Information Act of 1966, etc.",Health Care
FOSC,Freestanding Outpatient Surgery Center,Health Care
FQHC,Federally Qualified Health Center,Health Care
FSA,Family Services Administration,Health Care
FSA,Family Support Administration,Health Care
FULS,Federal Upper Limits (of Medicaid drug pricing) System,Health Care
FWA,"Fraud, Waste & Abuse",Health Care
GEB,General Enrollment Beneficiaries,Health Care
GEP,General Enrollment Period,Health Care
GHP,Group Health Plan,Health Care
GHPPS,Group Health Plan Payment System,Health Care
GHPS,Group Health Processing System,Health Care
GIC,General Inpatient Care,Health Care
GP,Generalized Claims Systems Procedures,Health Care
GPP,Group Practice Plan,Health Care
