Acronym,Term,Category
GPPP,Group Practice Prepayment Plan,Health Care
GPS,Generic Performance Standards,Health Care
GRECC,"Geriatric Research, Education & Clinical Center",Health Care
HAASC,Hospital Affiliated Ambulatory Surgical Center,Health Care
HART,HCFA Accounting Records Tracking System,Health Care
HAS,Hospital Annual Survey,Health Care
HASEALP,HA Search Alpha Program (Beneficiary Alpha Match/Reinstate Operation),Health Care
HAVEN,Home Assessment Validation & Entry System,Health Care
HBP,Hospital Based Physician,Health Care
HBP,HospitalBased Physician,Health Care
HCA,Hospital Corporation of America,Health Care
HCBWP,Home & Community Based Waiver Program,Health Care
HCC,Health Care Compare,Health Care
HCC,Hierarchical Condition Category,Health Care
HCCA,Health Care Commuting Area,Health Care
HCFA,"Health Care Financing Administration (renamed CMS effective July 1, 2001)",Health Care
HCG,Health Care Group,Health Care
HCH,Health Care for the Homeless,Health Care
HCIRC,Health Care Information Resource Center,Health Care
HCIS,HCFA Customer Information System,Health Care
HCIS,Health Care Information System,Health Care
HCPC,HCFA Common Procedure Code,Health Care
HCPCS,Healthcare Common Procedure Coding System,Health Care
HCPP,Health Care Prepayment Plan,Health Care
HCQII,Health Care Quality Improvement Initiative,Health Care
HCQIP,Health Care Quality Improvement Program,Health Care
HCR,Health Care Reform,Health Care
HCRIS,Healthcare Provider (or Hospice) (or Hospital) Cost Report Information System,Health Care
HCRS,(Maintain) HCRIS Process,Health Care
HCTP,Health Consumer Training Program,Health Care
HD,"Handicapped/Disabled (do not use Handicapped, use IWD or PWD)",Health Care
HD,Health Insurance Daily Operations,Health Care
HDBUTE,Health Insurance Database Update Program,Health Care
HDDUCS,Health Insurance Daily Update Control System,Health Care
HDENTMRG,Health Insurance Daily Prior Entitlement Merge,Health Care
HDHIDAD,HD Health Insurance Daily Actions Dispersion System,Health Care
HDHIDUP,HD Health Insurance Daily Update Program,Health Care
HDHISS,HD Health Insurance Segmented Sort System,Health Care
HDI,Health Data Institute,Health Care
HDID,HI Daily Identification (also see BOIS),Health Care
HDLC,HighLevel Data Link Control,Health Care
HDMEDMRG,HD Medicaid Merge Program,Health Care
HDMUPS,HI Daily Master Update Processing System,Health Care
HDPRENT,HD Prior Entitlement Program,Health Care
HDRIM,Health Insurance Retrieve Inactive Master System,Health Care
HDSS,Hospital Data Support System,Health Care
HECHICN,HE Health Insurance Enrollment Cards Operation,Health Care
HEDIS,Healthplan Employer Data Information Sets,Health Care
HEZ,Health Economic Zone,Health Care
HFMA,Healthcare Financial Management Association,Health Care
HH,Home Health,Health Care
HHA,Home Health Agency,Health Care
HHABN,Home Health Advanced Beneficiary Notice,Health Care
HHC,Home Health Care,Health Care
HHCOV,Home Health Coverage,Health Care
HHI,Home Health Intermediary,Health Care
HHL,Home Health Line,Health Care
HHPPS,Home Health Prospective Payment System,Health Care
HHQI,Home Health Quality Initiative,Health Care
HHQIS,Home Health Quality Indicator System,Health Care
HHRG,Home Health Resource Group,Health Care
HHS,(Department of) Health & Human Services (also DHHS),Health Care
HHS,Home Health Services,Health Care
HHSAR,"Health & Human Services Acquisition Regulation (48 CFR, Ch.3)",Health Care
HHSSA,Home Health Services & Staffing Association,Health Care
HI,Health Insurance (Medicare),Health Care
HIAA,Health Insurance Association of America,Health Care
HIAM,Health Insurance Alpha Microfilm,Health Care
HIB,Health Insurance Benefits (Medicare),Health Care
HIB,Hospital Insurance Benefits (Part A),Health Care
HIBRR,Health Insurance Benefits Rights & Responsibilities,Health Care
HIC,Health Information Center,Health Care
HIC,Health Insurance Claim,Health Care
HIC,Health Insurance Company,Health Care
HIC,Home Intensive Care,Health Care
HICAN,Health Insurance Claim Account Number (Medicare Number),Health Care
HICDA,Hospital International Classification of Diseases Adapted,Health Care
HICN,Health Insurance Claim Number (Medicare Number),Health Care
HICR,Health Insurance Correction Request,Health Care
HIDA,Health Insurance Distributor's Association,Health Care
HIDAD,HI Daily Actions Dispersion System,Health Care
HIDUP,HI Duplicate Payments Systems,Health Care
HIFA,Health Insurance Flexibility and Accountability,Health Care
HIICAP,"Health Insurance Information, Counseling & Assistance Program",Health Care
HIIM,Health Insurance Inquiries Manual,Health Care
HIM,Health Insurance Manual,Health Care
HIMA,Health Industry Manufacturers Association,Health Care
HIMA,Health Insurance Master,Health Care
HIMBEX,Health Insurance Master Billing Exception Process,Health Care
HIMF,Health Insurance Master File,Health Care
HIMSS,(AHA's) Healthcare Information & Management Systems Society,Health Care
HIN,Health Industry Number,Health Care
HIN,Health Insurance Networks,Health Care
HIN,HI Number (see HICN),Health Care
HINN,HospitalIssued Notice of Noncoverage,Health Care
HIO,Health Insurance Organization,Health Care
HIP,Health Insurance Pamphlet,Health Care
HIP,Health Insurance Plan,Health Care
HIPAA,Health Insurance Portability & Accountability Act of 1996,Health Care
HIPDB,Healthcare Integrity & Protection Data Bank,Health Care
HIPPS,Health Insurance Prospective Payment System,Health Care
HIQA,Health Insurance Query A (Part A inquiry data),Health Care
HIQR,Health Insurance Online Query Response,Health Care
HIRAM,Health Insurance Reinstating Alphabetic Master,Health Care
HIRO,Health Insurance Regional Office,Health Care
HIRTF,Health Insurance Reform Task Force,Health Care
HIS,Health Information Systems (3M Inc.),Health Care
HIS,Health Interview Survey,Health Care
HISAC,Health Insurance Screening & CrossReferencing (HMHISAC),Health Care
HISB,Health Informatics Standards Board,Health Care
HISB,Healthcare Informatics Standards Board,Health Care
HISDG,HCFA Information Systems Development Guide,Health Care
HISKEW,Health Insurance Skeleton Eligibility Writeoff,Health Care
HISPP,Healthcare Informatics Standards Planning Panel,Health Care
HISS,Health Insurance Segmented Sort System (HDHISS),Health Care
HISTM,Health Insurance System Test Module,Health Care
HIUM,Health Insurance Utilization Master (or Microfilm),Health Care
HIURPS,Health Insurance Utilization Records Processing System,Health Care
HJCOIN,Health Insurance Central Office Inquiries,Health Care
HL7,Health Level Seven,Health Care
HLM,HCFA Logical Model,Health Care
HMB,Hospital Market Basket,Health Care
HME,Home Medical Equipment,Health Care
HMHISAC,HM Health Insurance Screening & CrossReferencing Operation,Health Care
HMO/CMP,HMO Competitive Medical Plan,Health Care
HMODR,CMS Medicare Outpatient Data Review,Health Care
HMPSA,Health Manpower Shortage Area,Health Care
HMSA,Health Manpower Shortage Areas,Health Care
HMUPHMO,HI Master Update HMO,Health Care
HMWHIM,Health Insurance Master Weekly Health Insurance Merge,Health Care
HOL,HCFA OnLine,Health Care
HOP,Hospital Orientation Program,Health Care
HOS,Health Outcomes Survey,Health Care
HOST,Healthcare Open Systems & Trials,Health Care
HP,HI Payment Records Operations,Health Care
HPA,Health Policy Agenda,Health Care
HPAC,HI Premium Amount Collectable (MBR / BCM),Health Care
HPBSS,HCFA Part B Standard System,Health Care
HPMS,Health Plan Management System,Health Care
HPPC,Health Plan Purchasing Cooperative,Health Care
HPSA,Health Professional (or Personnel) Shortage Area,Health Care
HQ,HI Query Operations,Health Care
HRET,(AHAs) Hospital Research & Educational Trust,Health Care
HRG,Health Research Group,Health Care
HRSA,"Health Resources & Services Administration (formerly HRA, formerly PHS)",Health Care
HSA,Health Service Area,Health Care
HSA,Health Services Administration,Health Care
HSA,Health Systems Agencies,Health Care
HSC,(Army) Health Services Command,Health Care
HSI,Health Systems International,Health Care
HSP,Hospital Specific Portion,Health Care
HSR,Hospital Specific Rate,Health Care
HSRA,Health Resources & Services Administration,Health Care
HUQA,(Part A inquiry data),Health Care
HURA,Health Underserved Rural Area,Health Care
HWI,Hospital Wage Index,Health Care
HYBC,Hypothetical Base Year Calculations,Health Care
IA,Inter/IntraAgency Agreement,Health Care
IADL,Instrumental Activities of Daily Living,Health Care
IBN,Incorrect Bill Notice,Health Care
IBPR,Intermediary Benefit Payment Report,Health Care
IBPR,Intermediary Benefits Payment Report,Health Care
IBR,Intermediary Benefit Payment,Health Care
IC,Initial Claims Operations,Health Care
ICA,Insurance Counseling Assistance (Program),Health Care
ICCP,Individual Community Care Plan,Health Care
ICD,Implantable Cardioverter Defibrillator,Health Care
ICD,International Classification of Diseases,Health Care
ICD-9-CM,International Classification of Diseases 9th Edition Clinical Modification,Health Care
ICDA,International Classification of Diseases Adapted for the U.S.,Health Care
ICF,Intermediate Care Facility,Health Care
ICF/MR,Intermediate Care Facility for Mental Retardation,Health Care
ICN,Intermediary Control Number,Health Care
ICR,Incomplete Claims Reject,Health Care
ICSTP,Intermediary/Carrier System Testing Project,Health Care
IEP,Initial Enrollment Period,Health Care
IEQ,Initial Enrollment Questionnaire,Health Care
IER,Intermediary Expenditure Report,Health Care
IG,Implementation Guide,Health Care
IHS,Indian Health Service,Health Care
IIHI,Individually Identifiable Health Information,Health Care
IL,Intermediary Letter,Health Care
IM,Intermediary Manual,Health Care
IMA,Individual Medical Account,Health Care
IMC,International Medical Center,Health Care
IMCAS,Intervening Medical Care Analysis System,Health Care
IMD,Institution for Mental Disease,Health Care
IME,Indirect Medical Education,Health Care
IMI,Infant Mortality Initiative,Health Care
IMRP,Instruction Manual for Renal Providers,Health Care
INRA,Immigration Nursing Relief Act of 1989,Health Care
IOC,Inspection of Care,Health Care
IOL,Intraocular Lens,Health Care
IOM,Institute of Medicine,Health Care
IP/SNF,Inpatient SNF,Health Care
IPAC,Immunization Practice Advisory Committee,Health Care
IPL,Independent Physiological Lab,Health Care
IPPB,Intermittent Positive Pressure Breathing,Health Care
IPRP,Interim Payment Review Program,Health Care
IPS,Institutional Provider of Service,Health Care
IRB,Intern & Resident to Bed (ratio),Health Care
IRC,Inpatient Respite Care,Health Care
IRF,Inpatient Rehabilitation Facility,Health Care
IRIS,Interim & Resident Information System,Health Care
IRIS,Interns & Residents Information System,Health Care
IRP,Insurance Reimbursement Program,Health Care
IRS,"Identical, Related & Similar (drugs)",Health Care
ISA,In Service Area,Health Care
ISCLT,International Society for Clinical Laboratory Technology,Health Care
ISTP,Intermediary System Testing Program,Health Care
IWD,Individuals With Disabilities,Health Care
JAMA,Journal of the American Medical Association,Health Care
JCA,Jewish Council for Aging,Health Care
JCAHCO,Joint Commission on Accreditation of Health Care Organizations,Health Care
JURIS,RRB Jurisdiction Change Operation,Health Care
LARPA,Locality Adjusted Reduced Prevailing Amount,Health Care
LARPA,Locality Area Reduced Prevailing Allowance,Health Care
LCC,Life Cycle Cost,Health Care
LCD,Local Coverage Determination,Health Care
LCDM,Life Cycle Development Methodology,Health Care
LCER,Limiting Charge Exception Report,Health Care
LCL,Lowest Charge Levels,Health Care
LGHP,Large GHP,Health Care
LIL,Limitation of Liability,Health Care
LMRP,Local Medical Review Policy,Health Care
LOC,Level of Care,Health Care
LOE,Level of Effort,Health Care
LOI,Letter of Intent,Health Care
LOINC™,"Logical Observation Identifiers, Names and Codes ™",Health Care
LOS,Length of Stay,Health Care
LPC,Locality (or Locally) Prevailing Charge,Health Care
LRD,Lifetime Reserve Days,Health Care
LTC,Long Term Care,Health Care
LTCF,Long Term Care Facility,Health Care
LTCIAC,Long Term Care Insurance Advisory Council,Health Care
LTCM,Long Term Care Management,Health Care
LTCP,Long Term Care Program,Health Care
LTCU,Long Term Care Unit,Health Care
LTD,Live Test Demonstration,Health Care
LTE,Less Than Effective (drug),Health Care
LTP,Lifetime Psychiatric Days,Health Care
LUPA,Low Utilization Payment Adjustment,Health Care
LVAD,Left Ventricular Assist Device,Health Care
LVRS,Lung Volume Reduction Surgery,Health Care
LW,Living With,Health Care
M&M,Medicare & Medicaid,Health Care
M+C,Medicare + Choice,Health Care
M+C NSF,Medicare + Choice National Standard Format,Health Care
M+CO,Medicare + Choice Organization,Health Care
MA,Medicaid Agency,Health Care
MA,Medical Assistance,Health Care
MAA,Medical Assistance Agency,Health Care
MAA,Memorandum of Advance Agreement,Health Care
MAABD,"Medical Assistance to Aged, Blind & Disabled",Health Care
MAAC,Maximum Allowable Actual Charge,Health Care
MAC,Major Ambulatory Category,Health Care
MAC,Maximum Allowable Cost (or Charge),Health Care
MACE,Medicare Alternate Claim Entry System,Health Care
MADC,Major Ambulatory Diagnostic Categories,Health Care
MADRS,Medicare Automated Data Retrieval System,Health Care
MADS,Medicare Actuarial Data System,Health Care
MAF,Medical Assistance Facility,Health Care
MAH,Most Accessible Hospital,Health Care
MAN,Medicare Automated Network,Health Care
MAO,Medical Assistance Only,Health Care
MAP,Medical Assistance Payments,Health Care
MAP,Medical Assistance Program,Health Care
MAPC,Maximum Allowable Prevailing Charge,Health Care
MAPSA,Medicare A Provider Services Assistants,Health Care
MARI,Medicare Administrative Reform Initiatives,Health Care
MARS,Medicare Accounts Receivable System,Health Care
MBA,Monthly Benefit Amount (SSA),Health Care
MBAS,Medicare Benefit Accounting System,Health Care
MBCIS,Medicare Compliance Issues System,Health Care
MBCS,Medicare Budget & Cost System,Health Care
MBCSP,Medicare Beneficiary Customer Service Program,Health Care
MBD,Medicare Beneficiary Database,Health Care
MBE,Medicaid Budget & Expenditures,Health Care
MBES,Medicaid Budget & Expenditures System,Health Care
MBHCW,(Medicare or Medicaid) Home & Community Based Services Waivers System,Health Care
MBN,Medicare Benefit Notice,Health Care
MCA,Maternity Center Association,Health Care
MCAB,Medicare Contractor Administrative Budget,Health Care
MCAC,Medical Coverage Advisory Committee,Health Care
MCBFMR,BESS Focused Medical Review,Health Care
MCBS,Medicare Current Beneficiary Survey,Health Care
MCCA,Medicare Catastrophic Coverage Act of 1988 (PL 100360),Health Care
MCCB,Medicare Change Control Board,Health Care
MCCOY,Managed Care Online Information System (GHP),Health Care
MCCRA,Medicare Catastrophic Coverage Repeal Act of 1989 (PL 101234),Health Care
MCDATA,MedicareMedicaid Common Data Initiative,Health Care
MCDC,Medicare Contractor Data Center,Health Care
MCE,Medicare Code Editor,Health Care
MCE(S),Medical Care Evaluation (Studies),Health Care
MCH,Maternal & Child Health Services,Health Care
MCI,Medicare Claims Inquiry,Health Care
MCIGLAS,Medicare Contractor Integrated General Ledger Accounting System,Health Care
MCM,Medicare Carrier Manual,Health Care
MCO,Managed Care Operation,Health Care
MCO,Managed Care Organization,Health Care
MCOB,Medicare Contractor Oversight Board,Health Care
MCPI,Medical Care Component of the Consumer Price Index,Health Care
MCPI,Medicare Contractor Productivity Improvement,Health Care
MCPS,Medicare (Part A) Claims Processing System (Veritus),Health Care
MCS,Mandatory Claim Submission System,Health Care
MCSC,Medicare Customer Service Center,Health Care
MCSID,Medicare Contractor Systems Information Database,Health Care
MCSS,Medicare Contractor Standard System,Health Care
MCSSMR,Medicare Contractor Standard Systems Medical Review,Health Care
MCWRS,Medicare Contractor Workload Reporting (System),Health Care
MCWS,Medicare Contractor Workload System,Health Care
MD,Medical Director,Health Care
MDAS,Medicaid Override Application System,Health Care
MDC,Medicare Data Center,Health Care
MDCN,Medicare Data Communications Network,Health Care
MDH,Medicare Dependent Hospital,Health Care
MDRI,Medicaid Drug Rebate Initiative,Health Care
MDS,Medicare Decision Support,Health Care
MDS,Mortality Data System,Health Care
MDSRH,Medicare Dependent Small Rural Hospital,Health Care
MDSS,Medicare Decision Support System,Health Care
ME,Medical Effectiveness,Health Care
ME,Medical Endurance,Health Care
MEASURES,Medicare/Medicaid Automated Survey Reporting System,Health Care
MECA,Medicare Expanded Choice Act of 1987,Health Care
MECCA,Medicare Catastrophic Coverage Act of 1988 (also MCCA),Health Care
MECT,Multiple Electroconvulsive Therapy,Health Care
MED,Medicare Enrollment Data (System),Health Care
MED,Medicare Exclusion Database,Health Care
MED-ED,Medical Education,Health Care
MEDAL,Medicare/Medicaid Eligibility Data Linkage,Health Care
MEDB,Manage the EDB System,Health Care
MEDB,Medicare Part B,Health Care
MEDIBAPS,Medicare Budget Allocation Process System,Health Care
MEDICAID,Medical Aid (State administered health insurance program),Health Care
MEDIGAP,Medicare Gap (Medicare complementary insurance program),Health Care
MEDIRS,Medicaid Eligibility Determination & Information Retrieval System,Health Care
MEDMRG,Medicaid Merge Program (HDMEDMRG),Health Care
MEDPAC,Medicare Payment Advisory Commission,Health Care
MEDPAR,Medicare Provider Analysis & Review,Health Care
MEDPARD,Medicare Participating Physician/Supplier Directory,Health Care
MEDSTAT,Medicaid Statistical Information (Reporting) System (now MSIS),Health Care
MEDTEP,Medical Treatment Effectiveness Program,Health Care
MEF,Master Earnings File (SSA),Health Care
MEI,Medical Economic Index,Health Care
MEI,Medicare Economic Index,Health Care
MEQC,Medicaid Eligibility Quality Control (System),Health Care
MES,Medicare Entitlement System,Health Care
MET,Medicaid Eligibility Terminal,Health Care
MEWA,Medicare & Multiple Employer Welfare Associations,Health Care
MFAIC,Medicare Fraud & Abuse Information Coordinator,Health Care
MFCU,Medicaid Fraud Control Unit,Health Care
MFIS,Medicare Fraud Information Specialist,Health Care
MFS,Medicare Fee Schedule,Health Care
MFSDB,Medicare Fee Schedule Database,Health Care
MFSR,Medicare Focused Medical Review Status Report,Health Care
MGA,Medicaid Grant Awards,Health Care
MGCRB,Medical Geographical Classification Review Board,Health Care
MGCRB,Medicare Geographic Classification Review Board,Health Care
MHB,Maximum Hospital Benefit,Health Care
MHOS,Medicare Health Outcomes Survey,Health Care
MHS,Medical History Sample,Health Care
MI,Manual Issuance,Health Care
MI,Medical Insurance (Part B or SMI),Health Care
MIB,Medical Information Bureau,Health Care
MIB,Medical Insurance Bureau,Health Care
MICH,"Maternal, Infant & Child Health",Health Care
MICO,Midwestern Consortium (Chicago & Kansas City HIROs),Health Care
MIDES,(Intermediary) Medicare Internal Data Entry System,Health Care
MIG,Medicare Insured Group,Health Care
MIH,Maternal & Infant Health Initiative,Health Care
MIM,Medicare Intermediary Manual,Health Care
MIMS,Medicare Information Management System,Health Care
MIP,Medicare Integrity Program,Health Care
MIR,Medicare Information Request,Health Care
MIRPS,Miscellaneous Information Reference PostEntitlement System (SSA MBR),Health Care
MMA,Medicare Modernization Act (of 1999),Health Care
MMACS,Medicare/Medicaid Automated Certification System,Health Care
MMAP,(AARP) Medicare/Medicaid Assistance Program,Health Care
MMCITS,Medicaid Managed Care Information Tracking System,Health Care
MMCQI,Medicare Managed Care Quality Improvement,Health Care
MMCS,Medicare Managed Care System,Health Care
MMDDCCYY,"Month-Month/Day-Day/Century-Century/Year-Year (i.e., 02/26/2001) (also MMDDYYYY)",Health Care
MMDDYY,MonthMonth/DayDay/YearYear,Health Care
MMIS,Medicaid Management Information System,Health Care
MMORP,Medicare Management & Open Review Program,Health Care
MMP,Mixed Model Plan (GPP/IPP combination),Health Care
MMPS,Medicare Mortality Predictor System,Health Care
MMWR,Morbidity & Mortality Weekly Report,Health Care
MN,Medical Necessity,Health Care
MN,Medically Needy,Health Care
MNIL,Medically Needy Income Levels,Health Care
MOLI,Mirtel OnLine Inquiry System (HCFA access to RRB Database),Health Care
MOR,Medicaid Overpayment Report,Health Care
MPARTS,Mistaken Payment Recovery Tracking System,Health Care
MPC,Medical Patterns of Care,Health Care
MPCC,Medicare Premium Collection Center,Health Care
MPCS,Medicare Premium Collection System,Health Care
MPD,Medicare Provider Database,Health Care
MPDB,Medicare Prescription Drug Beneficiaries,Health Care
MPF,Master Provider File,Health Care
MPFS,Medicare Physician Fee Schedule,Health Care
MPFSDB,Medicare Physician Fee Schedule Data Base,Health Care
MPI,Medicare Provider Inventory,Health Care
MPIER,Medicare Physician Identification & Eligibility Registry (or Record),Health Care
MPIES,Medicare Physician Identification & Eligibility System,Health Care
MPR,(carrier) Master Procedure Record,Health Care
MPRS,Medical Policy Retrieval System,Health Care
MPS,Market Penetration Survey,Health Care
MQA,Medicare Quality Assurance (CWF data validation),Health Care
MQAG,Medicare Quality Advisory Group,Health Care
MQC,Medicaid Quality Control,Health Care
MQGE,Medicare Qualified Government Employee,Health Care
MQIS,Medicare Quality Indicator System,Health Care
MQM,Medicare Quality Monitor,Health Care
MQSA,Mammography Quality Standards Act of 1992,Health Care
MR,Medical Review,Health Care
MR,Mortality Ratio,Health Care
MR/DD,Mentally Retarded / Developmentally Disabled,Health Care
MR/UR,Medical Review / Utilization Review,Health Care
MRA,Minimum Retirement Age,Health Care
MRAR,Medical Review Annual Report,Health Care
MRB,Medical Review Board,Health Care
MRCRA,Medicare Regulatory & Contractor Reform Act of 2001,Health Care
MRI,Medical Records Institute,Health Care
MRRS,Medicaid Retrospective Reimbursement System,Health Care
MRS-1,Medical Review System Version 1 (aka: Part B Medical Review Savings Reporting System),Health Care
MRT,Medical Review Team,Health Care
MRTAG,Mortality Review Technical Advisory Group,Health Care
MSA,Medical Savings Accounts,Health Care
MSA,Medical Statistical Area,Health Care
MSAT,Medicaid Strategic Analysis Team,Health Care
MSC,Medicare Status Code,Health Care
MSC,Message Switching Centers (SSA ARS/SSADARS),Health Care
MSHIP,Medicare Supplemental Health Insurance Programs,Health Care
MSIS,Medicaid Statistical Information System (formerly MedStat),Health Care
MSN,Medicare Summary Notice,Health Care
MSOM,Modernized Systems Operations Manual (SSA),Health Care
MSP,Medicare Secondary Payor,Health Care
MSPFQA,Medicare Secondary Payer Functional Quality Assurance (Steering Committee),Health Care
MSPLS,Medicare Secondary Payer Litigation Support,Health Care
MSPPAY,Medicare Secondary Payor Payment Module,Health Care
MSPQA,Medicare Secondary Payer Quality Assurance,Health Care
MSS,Medical Social Sevices,Health Care
MSS,Medicare Statistical System,Health Care
MSSC,Medicare Systems / State & County (Reimbursement),Health Care
MTAG,Medicare Technical Advisory Group,Health Care
MTEA,Medical Treatment Effectiveness Agenda,Health Care
MTI,Medicare Telephone Inquiry,Health Care
MTS,Medicare Target Scenario,Health Care
MTSO,Medical Transcription Service Organization,Health Care
MUA,Medically Undeserved Area,Health Care
MUDS,Medicare Utilization Data System,Health Care
MUPPET,Medicare UPdate Processors for Enrollment Transactions (nee NEWDUP),Health Care
MVPS,Medicare Volume Performance Standard,Health Care
MWRS,Medicare Workload Report System,Health Care
N&R,Needs & Requirements,Health Care
NAATP,National Association of Addiction Treatment Providers,Health Care
NABP,National Association of Boards of Pharmacy,Health Care
NACDS,National Association of Chain Drug Stores,Health Care
NACHC,National Association of Community Health Centers,Health Care
NACHRI,National Association of Children's Hospitals & Related Institutions,Health Care
NACRH,National Advisory Committee on Rural Health,Health Care
NADSA,National Adult Day Services Association,Health Care
NAHC,National Association for Home Care,Health Care
NAHDO,National Association of Health Data Organizations,Health Care
NAIC,National Association of Insurance Commissioners,Health Care
NAIT,National Alliance for Infusion Therapy,Health Care
NAMDRC,National Association for Medical Directors of Respiratory Care,Health Care
NAMES,National Association of Medical Equipment Suppliers,Health Care
NAMI,National Alliance for the Mentally Ill,Health Care
NAP,National Advisory Council,Health Care
NAPH,National Association of Public Hospitals,Health Care
NAPHS,National Association of Psychiatric Health Systems,Health Care
NARA,National Association of Rehabilitation Agencies,Health Care
NARD,National Association of Retail Druggists,Health Care
NARF,National Association of Rehabilitation Facilities,Health Care
NASLTCOP,National Association of Long Term Care Ombudsman Program,Health Care
NASMD,National Association of State Medicaid Directors,Health Care
NASOP,National Association of State Ombudsman Programs,Health Care
NAV,(Carrier) Name & Address Verification,Health Care
NBME,National Board of Medical Examiners,Health Care
NCA,National Coverage Analysis,Health Care
NCAI,National Coalition for Adult Immunization,Health Care
NCAL,National Coalition for Assisted Living,Health Care
NCCLS,National Council of Clinical Laboratory Services,Health Care
NCCNHR,National Citizen's Coalition for Nursing Home Reform,Health Care
NCCR,National Colorectal Cancer Roundtable,Health Care
NCD,National Coverage Determination,Health Care
NCGME,National Council on Graduate Medical Education,Health Care
NCHBPL,National Claims History Beneficiary Program Liability,Health Care
NCHICA,North Carolina Healthcare Information and Communications Alliance,Health Care
NCHLS,National Council on Health Laboratory Services,Health Care
NCHS,National Center for Health Statistics,Health Care
NCHS,National Center for Health Statistics (or Studies),Health Care
NCHSR,National Center for Health Services & Research,Health Care
NCI,National Cancer Institute,Health Care
NCNHR,National Coalition on Nursing Home Reform,Health Care
NCOA,National Change of Address (SSA & USPS),Health Care
NCOA,National Council on the Aging,Health Care
NCP,National Coverage Policy,Health Care
NCPDP,National Council of Prescription Drug Programs,Health Care
NCPSSM,National Committee to Preserve Social Security & Medicare,Health Care
NCQA,National Committee for Quality Assurance,Health Care
NCQHC,National Committee for Quality Health Care,Health Care
NCSB,"Neurological, Cognitive, Sensory & Behavorial (Variables)",Health Care
NCSC,National Council of Senior Citizens,Health Care
NCVHS,(PHS) National Center for Vital & Health Statistics,Health Care
NDC,National Drug Code,Health Care
NDEP,National Diabetes Education Program,Health Care
NDI,National Death Index,Health Care
NDMS,National Disaster Medical System,Health Care
NDPS,National Drug Pricing System,Health Care
NDR,National Death Repository (SSA),Health Care
NEHA,New England Health Assembly,Health Care
NEJM,New England Journal of Medicine,Health Care
NESRD,NonEnd Stage Renal Disease,Health Care
NETT,National Emphysema Treatment Trial,Health Care
NF,Nursing Facility,Health Care
NFID,National Foundation for Infectious Diseases,Health Care
NGFSFHP,National Guaranty Fund for SelfFunded Health Plans,Health Care
NH,Nursing Home,Health Care
NHA,Nursing Home Administrator,Health Care
NHAC,National Health Advisory Committee,Health Care
NHB,National Health Board,Health Care
NHCAA,National Health Care AntiFraud Association,Health Care
NHCMQ,Nursing Home Case Mix & Quality Demonstration,Health Care
NHDAC,National Health Data Advisory Council,Health Care
NHE,Nation's Health Expenditures,Health Care
NHELP,National Health Law Program,Health Care
NHI,National Health Insurance,Health Care
NHI,Nursing Home Information,Health Care
NHII,National Health Information Infrastructure,Health Care
NHIS,National Health Interview Survey,Health Care
NHO,National Hospice Organization,Health Care
NHSC,National Health Service Corps,Health Care
NIA,National Institute on Aging,Health Care
NIAID,National Institute of Allergies & Infectious Diseases,Health Care
NIAMSD,National Institute of Arthritis & Musculoskeletal & Skin Diseases,Health Care
NICOA,National Indian Council on Aging,Health Care
NIDA,National Institute on Drug Abuse,Health Care
